Simulation,Generation,Best Fitness,Mean Fitness,Std Fitness
1,1,91.49061166337202,7.155251659543044,27.168797474547883
1,2,92.69061166337202,71.4754897378752,21.814417177702822
1,3,92.04704041507837,76.37002376555847,19.50796313778911
1,4,92.04704041507837,80.15042499488386,14.74536548813615
1,5,92.64704041507838,79.82758540163425,17.30756423656208
1,6,92.64704041507838,81.25550599155503,13.63820696339449
1,7,92.64704041507838,80.64173384161309,13.71970563498837
1,8,92.64704041507838,81.14661334195402,14.432727296251429
1,9,92.64704041507838,81.69691485566989,15.282081492823538
1,10,92.64704041507838,79.75904464781297,16.259747883880692
1,11,92.64704041507838,82.32015631410931,12.003593004098311
1,12,92.64704041507838,82.44954358320228,10.798697044620415
1,13,92.64704041507838,83.06956523035288,9.463146998630503
1,14,93.2070431491098,82.69890197664628,10.659036910459742
1,15,93.2070431491098,83.84233740502599,9.748187286047635
1,16,92.33193985886487,83.19482966886511,10.416087322791412
1,17,92.33193985886487,82.34232721983831,13.248342539210514
1,18,92.33193985886487,79.56306790469522,14.643271957197955
1,19,92.33193985886487,79.34866727048093,16.510902368691468
1,20,92.33193985886487,79.81465371837689,13.947508994994635
1,21,91.92482618476618,81.66103220254527,13.44930134310676
1,22,91.92482618476618,80.6364949976792,14.009473051276847
1,23,91.92482618476618,79.15399917136493,14.445609435061133
1,24,91.92482618476618,80.82338459698266,11.046490078534314
1,25,92.13740496697304,80.59994368193541,12.407502399958721
1,26,92.13740496697304,83.98441266702581,12.044202392018386
1,27,92.13740496697304,81.74026518104831,14.697892951923654
1,28,92.13740496697304,80.62740433309102,13.377898459229865
1,29,92.13740496697304,80.87302266211888,13.70595413140824
1,30,92.45124010962184,82.67654166853808,10.242401786608768
2,1,93.33193985886487,12.793565299064598,33.83064179004366
2,2,93.33193985886487,76.12764469480328,17.243265784379506
2,3,93.33193985886487,76.6817308744573,17.921754976605218
2,4,93.20278772623588,82.02448424308179,14.012642650429006
2,5,93.20278772623588,81.78055264520057,13.66275009732097
2,6,93.20278772623588,82.57382843234245,13.219153063026159
2,7,93.20278772623588,83.04343197770432,12.626084577513849
2,8,93.20278772623588,80.3133873516869,16.65407459017961
2,9,93.40956741322127,85.05005264544963,11.830052251628143
2,10,93.40956741322127,82.84405850738258,13.195186397046289
2,11,93.40956741322127,84.67565863070105,9.084753468526158
2,12,93.33740496697304,82.27606946394319,13.266973539089216
2,13,93.33740496697304,80.28593503126011,15.032128085309905
2,14,92.53193985886487,84.93268283654605,11.945990238222032
2,15,92.53193985886487,85.34317113807772,8.92931969874767
2,16,92.69061166337202,81.90414319512375,14.543731952993705
2,17,92.69061166337202,80.47447819640351,16.66491431213583
2,18,92.69061166337202,81.81732244064163,14.901540571412456
2,19,92.79605369405454,83.54739404516728,12.423510380689558
2,20,92.79605369405454,85.48901591667811,9.035194373070148
2,21,92.79605369405454,81.96688480567207,13.32686255830355
2,22,93.20278772623588,80.44432759021322,15.171446320226815
2,23,93.20278772623588,79.62851530790296,15.93154670506993
2,24,92.25092391510478,81.8502720073773,13.845175882329318
2,25,92.25092391510478,80.87001111272986,16.025008035774924
2,26,92.25092391510478,84.159927934474,11.372559258828222
2,27,91.9001335721758,85.64556908164997,9.65533090732462
2,28,91.91240366476762,85.747250217776,9.52257703339817
2,29,91.91240366476762,83.56908472384494,11.91555572095765
2,30,91.9001335721758,82.77586930968405,11.876532022615672
3,1,92.69061166337202,11.765692902169903,31.740359095379205
3,2,92.69061166337202,76.34610489167818,17.92960928749827
3,3,92.69061166337202,77.69888743793713,17.938228807281508
3,4,92.69061166337202,80.27489636867526,16.342494016887525
3,5,92.69061166337202,82.91907277343644,11.737455637846912
3,6,92.69061166337202,81.24272965288266,13.764944697252378
3,7,92.69061166337202,82.10186843033209,12.372565097037308
3,8,92.69061166337202,80.74143567005451,14.666955063839772
3,9,92.69061166337202,80.61730508640612,13.353500556074883
3,10,93.33616819497439,81.06857148450163,13.503254237491605
3,11,93.33616819497439,79.63781422497769,16.782770068466593
3,12,92.69061166337202,81.06715471177357,12.27141976010066
3,13,92.64704041507838,80.39397925761689,13.65236468627772
3,14,91.98936470590374,81.89714706473133,13.135968411990621
3,15,92.66728120673463,83.08205956878183,10.888337800854181
3,16,92.25092391510478,80.4339221026764,14.719056183321813
3,17,93.31240366476763,78.35734024233113,14.80330022535061
3,18,93.31240366476763,78.09084761105225,17.212890429855893
3,19,93.1794650007277,81.91531501682186,13.205658694839173
3,20,93.1794650007277,82.0256950776724,12.08037034923568
3,21,93.1794650007277,82.01082393902452,14.58274230778705
3,22,93.1794650007277,82.85753808486177,12.721711213954183
3,23,92.13109579777978,80.90945318526832,14.38857288854659
3,24,92.25092391510478,79.53229767940019,16.150349976450578
3,25,92.25092391510478,82.14479949837181,13.848216346261106
3,26,92.13109579777978,83.30753176000658,10.265993868903116
3,27,92.63521402607648,83.54709444895903,11.203421288854429
3,28,91.96956207860757,84.59504123979414,10.310868946739074
3,29,91.96956207860757,82.08366742273348,12.483267477689074
3,30,91.96956207860757,83.64952637851263,10.826586853909228
4,1,91.92482618476618,10.468567751679155,29.204748718647025
4,2,92.25092391510478,72.50834422448575,22.826968619494224
4,3,91.92482618476618,76.83952058555053,17.72316728065898
4,4,91.92482618476618,76.62120202242282,17.73396410816733
4,5,92.40150296873416,75.16727607401994,20.795807576557237
4,6,91.57237888630937,75.5063491348247,17.98068421493862
4,7,91.96956207860757,79.61878314824956,14.190601031570294
4,8,91.96956207860757,79.7879334674068,14.01569548055014
4,9,91.96956207860757,82.94719357789258,12.711112130490326
4,10,92.64704041507838,82.50897078882855,14.753460957987103
4,11,92.64704041507838,81.74211353343661,15.562661619986967
4,12,92.64704041507838,80.868789091813,15.904796336756128
4,13,92.64704041507838,82.969844886018,12.332987439959131
4,14,92.69061166337202,83.8907861180028,12.015249333017177
4,15,92.69061166337202,81.95474520748847,13.87467787639799
4,16,92.73193985886488,83.82807419264205,13.041760769486581
4,17,92.73193985886488,83.20961336617907,13.363514624270751
4,18,92.73193985886488,82.02899058850993,14.41810329771055
4,19,92.73193985886488,83.05481421123365,13.544482983910495
4,20,92.73193985886488,81.72306441477537,13.238922095320934
4,21,92.73193985886488,81.41132563952131,15.052314744443006
4,22,92.64704041507838,82.2816324360937,12.397739655836565
4,23,92.64704041507838,81.59556715767013,15.943431880292797
4,24,92.84341372532799,82.77504652169881,14.081384842791323
4,25,92.84341372532799,85.47042665626994,8.650986968057564
4,26,93.13214184093668,83.64697167458951,10.956931177059904
4,27,92.76355803717006,83.18345828278389,13.92719063402175
4,28,92.79605369405454,84.90197656897334,10.672699248037429
4,29,91.91240366476762,83.91105460292772,10.072008438645963
4,30,92.79605369405454,82.36277343091083,12.020822353103863
5,1,92.24704041507837,3.64464422166929,22.948034251047602
5,2,92.64704041507838,70.26986546589218,23.192373954755055
5,3,92.64704041507838,76.022419297708,19.31621719569551
5,4,92.64704041507838,79.835358882393,17.898333880008437
5,5,92.64704041507838,78.55913021562104,18.277382305291646
5,6,92.64704041507838,79.42082288424069,17.437267175786044
5,7,92.64704041507838,76.3419041983008,22.330790170679144
5,8,92.93193985886488,83.85759909479765,12.515939867915954
5,9,92.93193985886488,80.0286077007937,16.356655386729745
5,10,93.20278772623588,80.14716705703181,16.059309127659173
5,11,92.93740496697303,79.40639857498327,17.66246973570059
5,12,92.93740496697303,76.99756213817797,18.50333062187337
5,13,92.93740496697303,79.99377373591378,15.983643968256139
5,14,92.93740496697303,82.44900333619485,14.34413188485278
5,15,92.13193985886487,81.0839472431196,14.410502034862382
5,16,92.13193985886487,81.11336809166458,16.700485059156147
5,17,92.13193985886487,83.49761820440433,12.386396657894494
5,18,92.13193985886487,82.53261972174069,14.478304420926536
5,19,92.13193985886487,81.97356070272794,12.795894409060415
5,20,91.77964417492167,83.37699269359024,10.936246385157155
5,21,91.75297592783951,82.93750399365047,12.546897292798254
5,22,92.05092391510478,82.136479095468,14.887001608864944
5,23,88.25092391510478,84.27191891470783,10.96941927266585
5,24,87.62951600496184,84.94357767837809,9.402487151515993
5,25,92.04704041507837,86.06592447092011,7.352003374002474
5,26,91.76355803717006,84.1896472127205,11.695465185721606
5,27,88.00956741322126,84.2547568268916,11.53135791856279
5,28,92.57964417492167,83.86551609851597,13.075650640435622
5,29,92.57964417492167,85.03347461267717,8.529014659130477
5,30,92.57964417492167,83.75494672521582,12.572857179063105
6,1,92.24704041507837,10.66695201510753,29.2885623085209
6,2,92.24704041507837,79.23055227159847,17.53589836343553
6,3,92.24704041507837,80.36171425297617,16.03585392753921
6,4,93.5001335721758,76.9768303470144,19.783602801689028
6,5,93.5001335721758,81.17684744352569,16.506167620638134
6,6,92.61261419415925,83.53808898782489,15.480321491897334
6,7,92.61261419415925,84.52957589980372,14.340185693917357
6,8,92.61261419415925,82.04583646245244,16.846955829424466
6,9,92.73193985886488,81.88375144469697,16.081654289890544
6,10,92.73193985886488,83.48304389181295,13.569150127488857
6,11,92.61261419415925,80.85061070833194,16.827899471357746
6,12,92.61261419415925,82.01396090378081,15.455543626635354
6,13,91.77237888630937,83.3270340790093,13.044723789648152
6,14,91.77237888630937,83.1670563292526,12.098389754021545
6,15,91.89061166337203,82.07669171593516,11.236960523656638
6,16,92.24704041507837,82.23498657082,8.840365808069418
6,17,92.61261419415925,83.6092490674616,12.124955767649693
6,18,92.24704041507837,84.03323059309987,10.850103575857968
6,19,93.13193985886487,81.20446534716716,14.100390447143733
6,20,93.13193985886487,82.99270979501638,14.190957350590867
6,21,92.64704041507838,84.13262971270136,13.885860179763458
6,22,92.73193985886488,84.64189757420014,11.819504660625698
6,23,92.73193985886488,81.42227978067328,17.544010532543748
6,24,92.64704041507838,82.4582306081863,14.868916178802841
6,25,92.17504998251859,81.64107864472844,14.09289682977628
6,26,92.05092391510478,85.72654247974711,9.895700785358526
6,27,92.57237888630937,85.30649559557965,10.270095941828652
6,28,92.17504998251859,83.69043920232774,13.040429389494737
6,29,91.57237888630937,84.85205117106634,12.25259448613576
6,30,92.64704041507838,86.30186672934866,11.964520118541591
7,1,91.49061166337202,13.474597794812247,31.27271044909906
7,2,92.73193985886488,69.57964322550332,22.324192920710516
7,3,92.73193985886488,73.15717373571827,20.025069364626074
7,4,92.04704041507837,76.10712437814772,19.153563992165736
7,5,91.89405452609942,80.90602901042193,16.08250371609883
7,6,91.89405452609942,82.65418198459491,14.392619989855913
7,7,91.89405452609942,83.26752848852175,12.076392926890422
7,8,91.89405452609942,83.98212245840901,10.937731513778266
7,9,91.76956207860756,82.65870351681848,12.726062783224041
7,10,91.74772657195336,84.06037065387336,10.836374853025772
7,11,91.74772657195336,82.71117069492043,10.751754299913607
7,12,91.74772657195336,83.71203166623394,7.784127128384275
7,13,91.57237888630937,79.09610877011461,15.329668978657667
7,14,91.57237888630937,78.75222175516808,17.100269909556584
7,15,93.07212383121042,80.06156296032489,15.563726195291656
7,16,92.65835757739069,80.0743001401818,16.138511629982524
7,17,92.64704041507838,82.12904482051674,14.85596888048287
7,18,92.79605369405454,81.77957713555898,13.920423144245222
7,19,93.40956741322127,82.62173158432499,13.369810029460794
7,20,92.79605369405454,81.92818699838291,13.56165660861963
7,21,92.79605369405454,83.76608582855224,10.011147412153822
7,22,92.79605369405454,82.23893558417458,12.832985904483163
7,23,93.20278772623588,82.83480635869597,12.936617022783418
7,24,92.59605369405453,85.32797524716314,9.59495420288138
7,25,91.09061166337202,83.62606465490549,8.280697143746115
7,26,91.45289246928253,84.68815128637314,7.683779307307101
7,27,91.20278772623588,84.61254887835892,8.391484116330176
7,28,91.49061166337202,81.80644336344356,13.314849030771855
7,29,91.49061166337202,83.52317651002804,12.2935790301012
7,30,92.79605369405454,82.11938033976979,13.667003494473965
8,1,90.84704041507838,9.548529680006926,27.339416093110774
8,2,91.49061166337202,69.4025189994863,21.88477185722035
8,3,91.49061166337202,76.97848622287954,17.326504455883722
8,4,91.49061166337202,76.55746044302397,18.309889522901216
8,5,91.49061166337202,77.14066629095758,16.835461989446344
8,6,91.49061166337202,80.36453839986834,13.961704302357612
8,7,91.84704041507838,82.36695512395735,12.225330174536788
8,8,92.64704041507838,80.09444243631468,14.322680645049829
8,9,92.64704041507838,79.73911265071092,16.010120618176
8,10,92.64704041507838,78.35664694457441,18.258103901981237
8,11,93.2070431491098,79.71305309052914,16.27358965273746
8,12,93.2070431491098,81.24362289358724,14.063354474683335
8,13,92.25092391510478,81.60766745241175,11.411589892553073
8,14,91.79051384715858,82.69728506250269,11.748850063542127
8,15,91.98272016318508,81.44849142523759,12.898251374167142
8,16,91.98272016318508,84.02963087300208,9.539715481152744
8,17,91.97611947915372,84.51927873521068,8.418935512771204
8,18,92.08200618758325,83.70766861507607,11.163310177504044
8,19,91.49061166337202,86.94536945929609,3.731162996746811
8,20,91.49061166337202,85.63858452924906,8.377299529384363
8,21,91.49061166337202,86.9272407856666,4.665283036471829
8,22,91.49061166337202,86.77040966890495,5.684644934642145
8,23,91.49061166337202,82.23459085098055,15.252654816983016
8,24,91.49061166337202,84.49332980801996,9.98903604801908
8,25,92.57237888630937,83.6723912861808,12.043278744050056
8,26,91.49061166337202,82.93168480051054,13.104821090557262
8,27,92.25092391510478,84.65304805733584,10.760155151273047
8,28,92.65835757739069,85.5429809883486,8.73560502184603
8,29,92.25092391510478,86.32074394607578,8.275512162584407
8,30,87.62951600496184,85.99516790383073,6.992242115899783
9,1,92.64704041507838,12.893211627299827,33.133208922690855
9,2,92.64704041507838,74.2027504196664,21.016766963169655
9,3,93.13740496697304,77.36622391600565,17.441458002997535
9,4,93.13740496697304,75.8990541980298,21.770539531033652
9,5,91.49061166337202,76.87206006070683,18.7446236380354
9,6,91.49061166337202,75.1770317501677,19.88030707418584
9,7,91.77964417492167,75.90308158474842,20.319260281912236
9,8,91.98936470590374,77.0360139476669,19.09966683679686
9,9,92.69061166337202,78.41396533981766,16.289429020980965
9,10,91.49061166337202,81.47747872740801,14.239606370698425
9,11,91.49061166337202,82.36575608678827,14.576271331964918
9,12,92.64704041507838,82.521678171656,12.689647985645385
9,13,92.64704041507838,82.51526605599003,11.780696833012351
9,14,91.99051384715858,83.09506532434234,12.078636055476565
9,15,93.00278772623588,82.37188469835725,13.162055377618751
9,16,93.20956741322127,83.09635807348823,11.385887120311796
9,17,93.00278772623588,83.7638882361207,11.070934574834338
9,18,93.20278772623588,84.58630817566947,13.060368632844641
9,19,93.00278772623588,84.99294305045453,10.854501187075305
9,20,93.00278772623588,82.89360902579318,12.783447632469834
9,21,91.54375419465168,83.32342559238889,11.370651075179655
9,22,91.54375419465168,83.25687173947915,12.38097559532162
9,23,91.93109579777976,84.36566227655027,10.777296030702729
9,24,92.79605369405454,85.94817566698559,7.207444205077897
9,25,93.00278772623588,86.65488050649654,5.398370492334049
9,26,93.00704314910979,85.87911661339196,8.349501927981235
9,27,92.79605369405454,83.01918768779822,12.60594777389073
9,28,93.00278772623588,82.61892149478346,12.963179845566987
9,29,92.57237888630937,84.93128974559183,8.908499826570573
9,30,92.18936470590374,84.30425127248405,9.80188295271508
10,1,92.53703951986405,16.04277212204822,34.232089958446366
10,2,92.64704041507838,66.181485487192,24.53582212765929
10,3,92.53703951986405,77.40433432391085,18.335553877032474
10,4,92.53703951986405,79.2625252972422,17.356737270820023
10,5,91.49061166337202,82.31929694963839,13.041530452322492
10,6,92.59605369405453,83.81397145066214,12.813061435131653
10,7,91.91859563501554,81.77190925679723,13.877110374214308
10,8,91.91859563501554,84.09901221337309,11.026515628387923
10,9,91.91859563501554,83.30911210250765,11.01114140341682
10,10,91.49061166337202,80.8839532053631,15.192597061249824
10,11,91.99051384715858,83.56108023662624,11.716028664187606
10,12,91.99051384715858,84.57336121104258,9.945836545371225
10,13,92.25092391510478,85.44082643868256,8.007004143501582
10,14,92.79605369405454,84.72271669169174,10.62040123110322
10,15,92.79605369405454,84.63989683158024,10.78169704165246
10,16,92.04704041507837,84.11773714849198,13.716431787205503
10,17,92.64704041507838,84.02459749715057,12.87733611049002
10,18,93.00278772623588,85.20909082029058,10.736467717521123
10,19,93.00278772623588,86.2843202375429,5.892728626765263
10,20,93.00278772623588,85.70408538253669,7.911263948448644
10,21,93.00278772623588,82.48835643049597,12.389683493552218
10,22,92.59605369405453,83.5389529359477,9.721571607844503
10,23,92.59605369405453,82.1718677273141,12.594717884428347
10,24,92.64704041507838,82.98275930411619,11.667365149505157
10,25,92.64704041507838,83.77477038138387,11.591357372043241
10,26,92.64704041507838,84.77715331672287,10.965554259021937
10,27,92.45124010962184,81.64652506687436,14.721478949997719
10,28,92.05092391510478,83.91487416419358,11.950794737354416
10,29,91.98936470590374,84.10119308125881,10.45451262310458
10,30,92.25092391510478,83.84607224521889,12.945397352700393
